,K,logP,e,w,num_of_planets
309,2.539442905,5.230958682,0.404742103,-678.3235052,0
310,51.44056543,5.779975811,-0.201982565,32.74551769,1
311,60.75175738,5.736607057,0.389074627,3.954243663,1
312,1859.672687,5.910849403,0.842019372,-2.786114471,0
313,139.7183088,7.571459564,0.36466408,-38.26383658,0
314,161.972196,7.162688092,-0.54168607,-499.8178269,1
315,14.04540555,5.694845567,-0.308722464,-6.302981683,1
316,32.72672715,6.017136199,0.09375717,-9.202901454,2
317,33.0568079,5.9696001,0.403200489,-12.38554152,2
318,347.386531,4.269793442,-0.137780332,-0.135117685,0
319,343.9132256,4.26928727,-0.115903024,-0.233249884,0
320,339.2929094,4.269166325,0.122455512,-22.182824,0
321,6.500560747,2.672604432,-0.107062526,28.45703126,1
322,250.9028532,4.850124329,0.961508103,106.330319,0
323,5.999860208,2.806739987,0.997360076,-70.41302346,1
324,79.73439406,5.151326863,0.131031032,121.8134521,1
325,91.76437206,6.180582556,-0.496465164,1.431950942,1
326,111.3691236,4.935561524,0.160119661,781.2705293,1
327,338.3638632,5.988720728,0.251748728,-0.978031546,1
328,31.00462779,6.175085171,0.082705887,23.68332592,1
329,52.27509319,6.498067453,0.176112301,-1.208974512,1
330,19.86781341,7.027216899,0.147459488,0.21295689,2
331,5.082685438,5.272838895,0.397433435,18.69532041,0
332,3.03380622,3.417800804,-0.020186598,-70.49256836,0
333,3.03380622,3.417800804,-0.020186598,-70.49256836,0
334,3.03380622,3.417800804,-0.020186598,-70.49256836,0
335,77.33397102,6.490219531,-0.483291228,-24.33031037,2
336,104.8132769,6.453477893,-0.490743476,0.698113783,2
337,1111.264557,6.541098394,0.667634401,-41.68499168,0
338,3.13877181,5.953734916,-0.479627734,-5533.500471,0
339,3.13877181,5.953734916,-0.479627734,-5533.500471,0
340,3.13877181,5.953734916,-0.479627734,-5533.500471,0
341,8.870777491,3.59671723,-0.801843814,-98.49659789,0
342,8.870777491,3.59671723,-0.801843814,-98.49659789,0
343,8.870777491,3.59671723,-0.801843814,-98.49659789,0
344,337.8115041,3.407516941,-0.774451711,6.576287001,1
345,91.15470421,1.922717772,-0.215183187,-12.37678619,1
346,64.30558753,5.581594958,-0.565631855,16.91822409,0
347,64.30558753,5.581594958,-0.565631855,16.91822409,0
348,64.30558753,5.581594958,-0.565631855,16.91822409,0
349,15.07561234,6.974052482,-0.106802944,-0.278967259,1
350,54.59253816,2.886996838,-0.777466508,134.2780542,2
351,39.59016633,3.06918827,0.311590788,-44.16246203,2
352,56.52368285,2.838232709,-0.806223963,-48.32501887,2
353,22.72394405,7.831486668,0.403959862,-40374.78908,0
354,22.72394405,7.831486668,0.403959862,-40374.78908,0
355,22.72394405,7.831486668,0.403959862,-40374.78908,0
356,37.65723801,6.130388994,-0.119011865,-24.22455669,1
357,40.50063937,6.155406318,-0.241478594,-23.90686277,1
358,6.991748146,4.180029429,0.325942134,50.41297046,0
359,6.991748146,4.180029429,0.325942134,50.41297046,0
360,6.991748146,4.180029429,0.325942134,50.41297046,0
361,5.643938699,0.628670758,0.607149973,7.328720962,0
