pl_hostname,pl_letter,pl_status,pl_rvamp,pl_orbper,pl_orbeccen,pl_orblper,pl_pnum,,,,,,
HD 16175,b,3,94,990,0.6,,1,,,,,,
HD 17092,b,3,82.4,359.89999,0.17,,1,,,,,,
HD 17156,b,3,279.8,21.21663,0.68,,1,,,,,,
HD 18742,b,3,61,766,0.04,190,1,,,,,,
HD 19994,b,3,29.3,466.2,0.063,346,1,,,,,,
HD 20794,b,3,0.83,18.315,0,0,4,,,,,,
HD 20782,b,3,118.43,597.0643,0.95,143.58,1,,,,,,
HD 20868,b,3,100.3,380.85001,0.75,,1,,,,,,
HD 23127,b,3,27.72,1211.17,0.406,181.829,1,,,,,,
HD 23079,b,3,54.9,730.59998,0.1,,1,,,,,,
HD 22781,b,3,726.4,528.07,0.8191,315.92,1,,,,,,
HD 23596,b,3,127,1561,0.27,,1,,,,,,
HD 24040,b,3,47.4,3668,0.04,,1,,,,,,
HD 25171,b,3,14.56,1802.29,0.042,159.543,1,,,,,,
HD 27442,b,3,32.2,428.1,0.06,216,1,,,,,,
HD 219415,b,3,18.2,2093.3,0.4,207,1,,,,,,
HD 219828,b,3,7.73,3.83492,0.101,248,2,,,,,,
HD 220074,b,3,230.8,672.09998,0.14,,1,,,,,,
HD 220689,b,3,17.12,2266.4,0.054,112.834,1,,,,,,
HD 220773,b,3,20,3724.7,0.51,259,1,,,,,,
HD 221287,b,3,71,456.1,0.08,98,1,,,,,,
HD 222155,b,3,24.2,3999,0.16,,1,,,,,,
HD 222582,b,3,276.3,572.38,0.73,,1,,,,,,
HD 224693,b,3,39.96,26.6904,0.104,358,1,,,,,,
HD 231701,b,3,39.2,141.63,0.13,68,1,,,,,,
HD 233604,b,3,177.8,192,0.05,281,1,,,,,,
HD 240210,b,3,161.89,501.75,0.15,277.59,1,,,,,,
HD 240237,b,3,91.5,745.70001,0.4,,1,,,,,,
HD 290327,b,3,41.3,2443,0.08,,1,,,,,,
HD 285968,b,3,4.12,8.7836,0,0,1,,,,,,
HD 285507,b,3,125.8,6.0881,0.09,,1,,,,,,
HD 330075,b,3,107,3.38773,0,,1,,,,,,
PH2,b,3,,282.5255,0.41,3.44,1,,,,,,
KOI-142,b,3,2.58,10.95416,0.05593,90.59,2,,,,,,
KOI-94,b,3,3.3,3.743208,0.25,,4,,,,,,
HD 27631,b,3,24.51,2198.14,0.141,122.642,1,,,,,,
HD 27894,b,3,59.8,18.02,0.047,132.2,3,,,,,,
HD 28254,b,3,37.3,1116,0.81,301,1,,,,,,
HD 28185,b,3,163.5,379,0.05,,1,,,,,,
HD 28678,b,3,32.9,380.2,0.149,128,1,,,,,,
HD 30177,b,3,125.98,2527.83,0.162,32.422,2,,,,,,
HD 30562,b,3,33.7,1157,0.76,,1,,,,,,
HD 30669,b,3,8.6,1684,0.18,82,1,,,,,,
HD 30856,b,3,29.9,847,0.061,171,1,,,,,,
HD 31253,b,3,12,466,0.3,,1,,,,,,
HD 32518,b,3,115.83,157.54,0.01,306.11,1,,,,,,
HD 33142,b,3,30.7,326,0.066,146,2,,,,,,
HD 33283,b,3,22.4,18.1991,0.399,155.5,1,,,,,,
HD 33564,b,3,232,388,0.34,205,1,,,,,,
HD 34445,b,3,15.7,1049,0.27,,6,,,,,,
HD 37124,b,3,28.5,154.378,0.054,130,3,,,,,,
HIP 5158,b,3,,345.72,0.52,-108,2,,,,,,
HIP 12961,b,3,24.7,57.435,0.17,,1,,,,,,
HIP 14810,b,3,423.34,6.673892,0.14399,158.83,3,,,,,,
GJ 1148,b,3,38.37,41.38,0.38,258.1,2,,,,,,
HIP 57274,b,3,4.6,8.1352,0.19,,3,,,,,,
HIP 63242,b,3,287.5,124.6,0.23,118.2,1,,,,,,
HIP 67851,b,3,45.5,88.9,0.05,138.1,2,,,,,,
HIP 70849,b,3,235,17337.5,0.715,,1,,,,,,
HD 185269,b,3,93.3,6.83776,0.229,176.2,1,,,,,,
Kepler-99,b,3,2.91,4.60358,,,1,,,,,,
Kepler-100,b,3,1.9,6.88705,,,3,,,,,,
Kepler-102,b,3,,5.28696,,,5,,,,,,
HD 37605,b,3,203.47,55.01292,0.6745,220.78,2,,,,,,
HD 38283,b,3,10,363.20001,0.41,,1,,,,,,
HD 38529,b,3,55.2,14.30944,0.28,89.8,2,,,,,,
HD 38801,b,3,197.29,685.25,0.017,97.115,1,,,,,,
HD 39091,b,3,192.6,2093.07,0.637,330.61,2,,,,,,
HD 40307,b,3,1.94,4.3123,0.2,194.8,5,,,,,,
HD 40979,b,3,119.4,264.14999,0.25,,1,,,,,,
