pl_hostname,pl_letter,pl_status,pl_rvamp,pl_orbper,pl_orbeccen,pl_orblper,pl_pnum,,,,,,
HATS-60,b,3,82.6,3.560829,0.191,,1,,,,,,
HATS-61,b,3,330,7.817953,0.092,,1,,,,,,
HATS-62,b,3,10.2,3.2768837,0.298,,1,,,,,,
HATS-63,b,3,140,3.0566527,0.136,,1,,,,,,
HATS-64,b,3,85,4.908897,0.151,,1,,,,,,
HATS-65,b,3,97.7,3.105161,0.062,,1,,,,,,
HATS-66,b,3,586,3.1414391,0.064,,1,,,,,,
HATS-67,b,3,194,1.6091788,0.057,,1,,,,,,
HATS-68,b,3,139.3,3.5862202,0.036,,1,,,,,,
HATS-69,b,3,52,2.2252577,0.519,,1,,,,,,
K2-66,b,3,7.4,5.06963,0,,1,,,,,,
Ross 128,b,3,1.39,9.8658,0.116,,1,,,,,,
K2-139,b,3,,28.380619,,,1,,,,,,
HD 176986,b,3,2.56,6.4898,0.066,249,2,,,,,,
K2-140,b,3,,6.56918,,,1,,,,,,
HD 147379,b,3,5.83,86.78,0.07,97.22,1,,,,,,
K2-141,b,3,6.25,0.2803244,0,90,2,,,,,,
HD 238914,b,3,71,4100,0.56,318,1,,,,,,
K2-291,b,3,3.33,2.225177,0,0,1,,,,,,
EPIC 248847494,b,3,,3650,0,,1,,,,,,
GJ 3512,b,3,71.84,203.59,0.4356,125.49,1,,,,,,
HD 119130,b,3,6.1,16.9841,0.04,104,1,,,,,,
HD 20003,b,3,3.84,11.8482,0.36,-92.74,2,,,,,,
HD 20781,b,3,0.91,5.3135,0.1,84.04,4,,,,,,
HD 21693,b,3,2.2,22.6786,0.12,-91.04,2,,,,,,
HD 59686 A,b,3,136.9,299.36,0.05,121,1,,,,,,
HD 3167,b,3,,0.959624,,,3,,,,,,
HD 133131 A,b,3,36.52,649,0.33,16,2,,,,,,
TYC 3318-01333-1,b,3,75.42,562,0.098,129,1,,,,,,
EPIC 220674823,b,3,,0.571331,,,2,,,,,,
HD 106315,b,3,3.63,9.55237,0.093,239,2,,,,,,
HD 31527,b,3,2.72,16.5535,0.1,41.12,3,,,,,,
HD 45184,b,3,4.26,5.8854,0.07,145.8,2,,,,,,
HD 51608,b,3,3.95,14.0726,0.09,117.45,2,,,,,,
HD 134060,b,3,4.61,3.2696,0.45,-98.23,2,,,,,,
HD 136352,b,3,1.59,11.5824,0.14,-185.64,3,,,,,,
HATS-70,b,3,1460,1.8882378,0.18,,1,,,,,,
GJ 143,b,3,5.51,35.61253,0.188,98,2,,,,,,
HD 23472,b,3,5.33,17.667,0,0,2,,,,,,
HD 133131 B,b,3,37.41,5769,0.61,103,1,,,,,,
KELT-17,b,3,131,3.0801716,,,1,,,,,,
WASP-92,b,3,111.6,2.1746742,0,0,1,,,,,,
WASP-93,b,3,174,2.7325321,0,0,1,,,,,,
WASP-118,b,3,54.6,4.0460435,0,0,1,,,,,,
HD 111998,b,3,87.6,825.9,0.03,-87.3,1,,,,,,
K2-105,b,3,,8.267704,,,1,,,,,,
K2-99,b,3,,18.251985,,,1,,,,,,
HD 9174,b,3,20.8,1179,0.12,101.99,1,,,,,,
HD 68402,b,3,54.7,1103,0.03,17.19,1,,,,,,
HD 72892,b,3,318.4,39.475,0.423,344.35,1,,,,,,
HD 128356,b,3,36.9,298.2,0.57,84.22,1,,,,,,
HD 147873,b,3,171.5,116.596,0.207,80.21,2,,,,,,
HAT-P-67,b,3,36,4.8101025,0,,1,,,,,,
K2-111,b,3,3.1,5.35117,0,,1,,,,,,
K2-114,b,3,,11.391013,,,1,,,,,,
K2-115,b,3,,20.272615,,,1,,,,,,
CoRoTID 223977153,b,3,14,6.71837,,,1,,,,,,
K2-237,b,3,167.9,2.1805577,0,,1,,,,,,
K2-238,b,3,100,3.20466,0,90,1,,,,,,
K2-260,b,3,178,2.6266657,0,90,1,,,,,,
K2-261,b,3,18.8,11.63344,0.39,143,1,,,,,,
Kepler-1658,b,3,580.83,3.84937278,0.0628,-7.73,1,,,,,,
WASP-190,b,3,99,5.367753,0,,1,,,,,,
HD 181234,b,3,126.8,7462.0575,0.73,93.3,1,,,,,,
HD 25015,b,3,60.1,6019.32,0.39,77.7,1,,,,,,
HD 13724,b,3,214.3,14763.405,0.34,187.5,1,,,,,,
HD 92987,b,3,152.7,10354.8375,0.21,195.1,1,,,,,,
HD 165155,b,3,75.8,434.5,0.2,211.99,1,,,,,,
HD 224538,b,3,107,1189.1,0.464,22.92,1,,,,,,
HD 87646,b,3,956,13.481,0.05,298,1,,,,,,
HAT-P-65,b,3,68,2.6054552,0.304,,1,,,,,,
HAT-P-66,b,3,93.5,2.972086,0.09,,1,,,,,,
rho CrB,b,3,67.28,39.8458,0.0373,270.6,2,,,,,,
HD 42618,b,3,1.89,149.61,0.19,101,1,,,,,,
HATS-18,b,3,415.2,0.83784,,,1,,,,,,
GJ 536,b,3,2.6,8.7076,0.08,288.7,1,,,,,,
WASP-130,b,3,108,11.55098,0,,1,,,,,,
K2-265,b,3,3.34,2.369172,0.084,,1,,,,,,
K2-295,b,3,54,4.024867,0,,1,,,,,,
Teegarden's Star,b,3,2.02,4.91,0,77,2,,,,,,
LTT 1445 A,b,3,2.1,5.35882,0.19,-139,1,,,,,,
WASP-131,b,3,30.5,5.322023,0,,1,,,,,,
WASP-132,b,3,51,7.133521,0,,1,,,,,,
WASP-139,b,3,14,5.924262,0,,1,,,,,,
WASP-140,b,3,403,2.2359835,0.047,,1,,,,,,
WASP-141,b,3,315,3.310651,0,,1,,,,,,
WASP-142,b,3,109,2.052868,0,,1,,,,,,
HATS-31,b,3,102,3.37796,0.233,,1,,,,,,
HATS-32,b,3,124,2.8126548,0.471,,1,,,,,,
HATS-33,b,3,170.1,2.5495551,0.08,,1,,,,,,
HATS-34,b,3,152,2.1061607,0.108,,1,,,,,,
HATS-35,b,3,170,1.8209993,0.306,,1,,,,,,
HD 86950,b,3,49,1270,0.17,243,1,,,,,,
HD 222076,b,3,31.9,871,0.08,241,1,,,,,,
WASP-127,b,3,,4.178062,,,1,,,,,,
WASP-136,b,3,,5.215357,,,1,,,,,,
WASP-138,b,3,,3.634433,,,1,,,,,,
HD 17674,b,3,21.1,623.8,0.13,,1,,,,,,
HD 42012,b,3,39,857.5,0.2,,1,,,,,,
GJ 96,b,3,4.69,73.94,0.44,339.58,1,,,,,,
K2-232,b,3,33.42,11.168454,0.258,207,1,,,,,,
Kepler-1655,b,3,1.47,11.8728787,,-71,1,,,,,,
HD 158996,b,3,207,820.2,0.13,168,1,,,,,,
HATS-39,b,3,62,4.5776348,0.275,,1,,,,,,
HATS-40,b,3,162,3.2642736,0.312,,1,,,,,,
HATS-41,b,3,1080,4.193649,0.38,136,1,,,,,,
HATS-42,b,3,246,2.292102,0.229,,1,,,,,,
NGTS-2,b,3,65.8,4.511164,0,,1,,,,,,
HAT-P-69,b,3,309,4.7869491,0,,1,,,,,,
WASP-169,b,3,52.9,5.6114118,0,,1,,,,,,
WASP-171,b,3,126,3.8186244,0,,1,,,,,,
WASP-175,b,3,124,3.0652907,0,,1,,,,,,
WASP-182,b,3,19,3.3769848,0,,1,,,,,,
KELT-24,b,3,462,5.5514926,0.077,55,1,,,,,,
HD 15337,b,3,3.08,4.75615,0.09,62,2,,,,,,
WASP-178,b,3,139,3.3448285,0,,1,,,,,,
WASP-184,b,3,58,5.1817,0,,1,,,,,,
WASP-185,b,3,88,9.38755,0.24,-42,1,,,,,,
WASP-192,b,3,307,2.8786765,0,,1,,,,,,
HD 221420,b,3,54.7,22482,0.42,164.4,1,,,,,,
GJ 27.1,b,3,4.9,15.819,0.08,150,1,,,,,,
HD 29021,b,3,56.4,1362.3,0.459,179.5,1,,,,,,
Qatar-3,b,3,587,2.5079204,0,,1,,,,,,
Qatar-4,b,3,1087,1.8053564,0,,1,,,,,,
Qatar-5,b,3,568,2.8792319,0,,1,,,,,,
KELT-18,b,3,127,2.8717518,0,,1,,,,,,
K2-110,b,3,,13.86387,,,1,,,,,,
KELT-9,b,3,276,1.4811235,0,90,1,,,,,,
BD+03 2562,b,3,155.7,481.9,0.2,218,1,,,,,,
K2-113,b,3,,5.817685,,,1,,,,,,
EPIC 246851721,b,3,270,6.180235,,,1,,,,,,
K2-266,b,3,10.3,0.658524,,,4,,,,,,
GJ 160.2,b,3,4.58,5.2354,0.06,360,1,,,,,,
GJ 180,b,3,3.33,17.38,0.11,10,2,,,,,,
GJ 229,b,3,3.83,471,0.1,150,1,,,,,,
GJ 422,b,3,4.49,26.161,0.05,250,1,,,,,,
GJ 682,b,3,2.99,17.478,0.08,86,2,,,,,,
Qatar-8,b,3,47.7,3.71495,0,,1,,,,,,
Qatar-9,b,3,259,1.540731,0,,1,,,,,,
Qatar-10,b,3,114,1.645321,0,,1,,,,,,
GJ 15 A,b,3,1.68,11.4407,0.094,55,2,,,,,,
WASP-177,b,3,77.3,3.071722,,,1,,,,,,
WASP-181,b,3,35.7,4.5195064,,,1,,,,,,
YZ Cet,b,3,1.48,1.96876,0,,3,,,,,,
GJ 625,b,3,1.67,14.628,0.13,343.1,1,,,,,,
HD 208897,b,3,34.7,352.7,0.07,167,1,,,,,,
MASCARA-1,b,3,,2.14878,0,,1,,,,,,
GJ 9827,b,3,4.11,1.2089819,0,,3,,,,,,
HD 76920,b,3,186.8,415.4,0.856,352.9,1,,,,,,
K2-229,b,3,,0.58426,,,2,,,,,,
HD 215152,b,3,0.772,5.75999,0,,4,,,,,,
WASP-183,b,3,74.8,4.1117771,,,1,,,,,,
HD 2685,b,3,0.117,4.12688,0.091,184.36,1,,,,,,
Gl 49,b,3,2.52,13.8508,0.363,43,1,,,,,,
GJ 357,b,3,1.52,3.93072,,,3,,,,,,
K2-287,b,3,28.8,14.893291,0.478,10.1,1,,,,,,
GJ 4276,b,3,8.79,13.352,0.37,216.83,1,,,,,,
KELT-23 A,b,3,150.6,2.255251,0,,1,,,,,,
HATS-59,b,3,92.1,5.416081,0.129,227,2,,,,,,
HD 202696,b,3,34.1,517.8,0.011,201.6,2,,,,,,
GJ 3942,b,3,3.29,6.905,0.121,112.7,1,,,,,,
HATS-50,b,3,45,3.8297015,0.516,,1,,,,,,
HATS-51,b,3,94.9,3.3488702,0.33,,1,,,,,,
HATS-52,b,3,380,1.36665436,0.246,,1,,,,,,
HATS-53,b,3,79,3.8537768,0.33,,1,,,,,,
KELT-19 A,b,3,352,4.6117093,,,1,,,,,,
HATS-36,b,3,,4.175186,,,1,,,,,,
BD+48 740,b,3,54,733,0.76,100,1,,,,,,
K2-263,b,3,2.82,50.818947,0.14,,1,,,,,,
HD 55696,b,3,76.7,1827,0.705,137,1,,,,,,
HD 98736,b,3,52,968.8,0.226,162,1,,,,,,
HD 148164,b,3,39.6,328.55,0.587,141.5,2,,,,,,
HD 203473,b,3,133.6,1552.9,0.289,18,1,,,,,,
HD 211810,b,3,15.6,1558,0.68,98,1,,,,,,
HD 148284,b,3,1022,339.331,0.38926,35.56,1,,,,,,
HD 217850,b,3,439,3501.3,0.7621,165.95,1,,,,,,
Gl 686,b,3,3.02,15.5314,0.077,,1,,,,,,
HD 221416,b,3,14.1,14.2767,0.115,-106,1,,,,,,
TOI 150,b,3,169.58,5.857342,0,,1,,,,,,
HATS-54,b,3,105,2.5441828,0.126,,1,,,,,,
HATS-55,b,3,102.8,4.2042001,0.092,,1,,,,,,
HATS-56,b,3,55.1,4.324799,0.019,,1,,,,,,
HATS-57,b,3,472.5,2.350621,0.028,,1,,,,,,
HATS-58 A,b,3,100,4.2180896,0.168,,1,,,,,,
WASP-166,b,3,10.4,5.44354,0,,1,,,,,,
CoRoT-21,b,3,274,2.72474,0,,1,,,,,,
gam Lib,b,3,22,415.2,0.21,187,2,,,,,,
KPS-1,b,3,198.7,1.706291,0,,1,,,,,,
24 Boo,b,3,59.9,30.3506,0.042,210,1,,,,,,
HATS-43,b,3,37.5,4.3888497,0.173,330,1,,Random State Parameter,Test Set Accuracy,Full Data Accuracy,Test F1-Score,Full F1-Score
HATS-44,b,3,90,2.7439004,0.279,,1,,0,70.45,82.045,0.66,0.74
HATS-45,b,3,75,4.1876244,0.24,,1,,20,61.79,73,0.61,0.73
HATS-46,b,3,22.1,4.7423729,0.559,,1,,40,61.79,81,0.61,0.81
HATS-7,b,3,18.4,3.185315,0.17,,1,,60,60.67,68.85,0.6,0.68
HD 47366,b,3,39.01,359.15,0.06,6.08,2,,80,58.4,70.8,0.57,0.7
HD 89345,b,3,9.2,11.8143,0.22,-13,1,,100,65.2,77,0.64,0.77
EPIC 211945201,b,3,,19.49221,,,1,,120,61.79,77.46,0.61,0.77
,,,,,,,,,140,62.9,74.29,0.62,0.74
,,,,,,,,,160,62.9,78.03,0.63,0.78
,,,,,,,,,180,57.3,73.27,0.55,0.73
,,,,,,,,,200,59.55,68.08,0.58,0.69
,,,,,,,,,,,,,
,,,,,,,,,Average:,62.06727273,74.89318182,0.607272727,0.74
